work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_category
2023,mi,FT,analytics engineer,700000,USD,700000.0,US,100,US,m,Elite
2023,mi,FT,machine learning software engineer,627000,ZAR,34482.0,ZA,50,ZA,l,Low
2024,se,FT,research scientist,600000,USD,600000.0,US,0,US,m,Elite
2024,se,FT,prompt engineer,600000,USD,600000.0,US,0,US,m,Elite
2024,se,FT,research engineer,600000,USD,600000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,550000,USD,550000.0,US,0,US,m,Elite
2024,mi,FT,ml engineer,530000,USD,530000.0,US,0,US,m,Elite
2023,mi,FT,data scientist,510000,HKD,65058.0,HK,0,HK,l,Medium
2024,se,FT,research scientist,500000,USD,500000.0,US,100,US,m,Elite
2024,se,FT,research scientist,484000,USD,484000.0,US,100,US,m,Elite
2023,ex,FT,data engineer,465000,USD,465000.0,US,0,US,m,Elite
2024,se,FT,research engineer,450000,USD,450000.0,US,0,US,m,Elite
2020,mi,FT,research scientist,450000,USD,450000.0,US,0,US,m,Elite
2024,se,FT,ai architect,449000,USD,449000.0,US,0,US,m,Elite
2024,ex,FT,head of machine learning,448000,USD,448000.0,US,100,US,m,Elite
2024,mi,FT,research engineer,440000,USD,440000.0,US,0,US,m,Elite
2024,mi,FT,ml engineer,440000,USD,440000.0,US,0,US,m,Elite
2024,se,FT,research scientist,440000,USD,440000.0,US,0,US,m,Elite
2024,mi,FT,research scientist,440000,USD,440000.0,US,0,US,m,Elite
2024,se,FT,research engineer,440000,USD,440000.0,US,0,US,m,Elite
2024,ex,FT,head of machine learning,438000,USD,438000.0,US,0,US,m,Elite
2021,mi,FT,applied machine learning scientist,423000,USD,423000.0,US,50,US,l,Elite
2024,se,FT,machine learning engineer,418000,USD,418000.0,US,100,US,m,Elite
2021,ex,CT,principal data scientist,416000,USD,416000.0,US,100,US,s,Elite
2024,se,FT,machine learning engineer,414000,USD,414000.0,US,0,US,m,Elite
2024,se,FT,applied scientist,414000,USD,414000.0,US,0,US,m,Elite
2020,se,FT,data scientist,412000,USD,412000.0,US,100,US,l,Elite
2023,se,FT,deep learning engineer,409500,CAD,303387.0,CA,100,CA,m,Elite
2024,ex,FT,machine learning engineer,408500,USD,408500.0,US,0,US,m,Elite
2023,mi,FT,research scientist,405000,USD,405000.0,US,0,US,l,Elite
2022,se,FT,data analytics lead,405000,USD,405000.0,US,100,US,l,Elite
2024,se,FT,data architect,400000,USD,400000.0,US,100,US,m,Elite
2024,mi,FT,ai engineer,400000,USD,400000.0,US,0,US,m,Elite
2024,se,FT,data analytics lead,398900,USD,398900.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,392000,USD,392000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,386100,USD,386100.0,US,0,US,m,Elite
2024,mi,FT,data infrastructure engineer,385000,USD,385000.0,US,0,US,m,Elite
2024,se,FT,ai engineer,385000,USD,385000.0,US,0,US,m,Elite
2024,se,FT,data engineer,385000,USD,385000.0,US,0,US,m,Elite
2024,mi,FT,data scientist,385000,USD,385000.0,US,0,US,m,Elite
2023,ex,FT,data engineer,385000,USD,385000.0,US,0,US,m,Elite
2023,se,FT,data engineer,385000,USD,385000.0,US,0,US,m,Elite
2023,se,FT,research engineer,385000,USD,385000.0,US,0,US,m,Elite
2023,se,FT,data infrastructure engineer,385000,USD,385000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,385000,USD,385000.0,US,100,US,m,Elite
2023,se,FT,data analyst,385000,USD,385000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,383910,USD,383910.0,US,0,US,m,Elite
2024,se,FT,research scientist,382320,USD,382320.0,US,0,US,m,Elite
2024,ex,FT,data science,381500,USD,381500.0,US,0,US,m,Elite
2024,se,FT,data architect,381500,USD,381500.0,US,0,US,m,Elite
2022,se,FT,applied data scientist,380000,USD,380000.0,US,100,US,l,Elite
2023,se,FT,data architect,376080,USD,376080.0,US,100,US,m,Elite
2023,ex,FT,director of data science,375500,USD,375500.0,US,100,US,m,Elite
2022,se,FT,machine learning software engineer,375000,USD,375000.0,US,100,US,m,Elite
2022,se,FT,data science tech lead,375000,USD,375000.0,US,50,US,l,Elite
2023,se,FT,research scientist,374000,USD,374000.0,US,0,US,m,Elite
2024,ex,FT,head of machine learning,373000,USD,373000.0,US,100,US,m,Elite
2023,se,FT,ai engineer,372000,USD,372000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,370000,USD,370000.0,US,0,US,m,Elite
2023,se,FT,research scientist,370000,USD,370000.0,US,0,US,m,Elite
2023,se,FT,research engineer,370000,USD,370000.0,US,0,US,m,Elite
2023,se,FT,data engineer,370000,USD,370000.0,US,0,US,m,Elite
2023,se,FT,data scientist,370000,USD,370000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,365630,USD,365630.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,365100,USD,365100.0,US,0,US,m,Elite
2024,se,FT,data architect,363000,USD,363000.0,US,0,US,m,Elite
2024,se,FT,research scientist,360000,USD,360000.0,US,0,US,m,Elite
2024,mi,FT,research engineer,360000,USD,360000.0,US,0,US,m,Elite
2023,se,FT,ai engineer,360000,USD,360000.0,US,0,US,m,Elite
2023,se,FT,bi analyst,360000,TRY,18381.0,TR,100,TR,l,Low
2024,mi,FT,research scientist,359400,USD,359400.0,US,100,US,m,Elite
2024,se,FT,data scientist,359170,USD,359170.0,US,0,US,m,Elite
2023,se,FT,data scientist,359170,USD,359170.0,US,0,US,m,Elite
2024,se,FT,ml engineer,357900,USD,357900.0,US,0,US,m,Elite
2023,se,FT,data architect,354200,USD,354200.0,US,100,US,m,Elite
2023,ex,FT,director of data science,353200,USD,353200.0,US,0,US,m,Elite
2023,se,FT,computer vision engineer,351000,USD,351000.0,US,0,US,m,Elite
2023,en,FT,research engineer,350000,USD,350000.0,US,0,US,m,Elite
2023,ex,FT,data engineer,350000,USD,350000.0,US,100,US,m,Elite
2023,se,FT,ai engineer,350000,USD,350000.0,US,0,US,m,Elite
2023,se,FT,data lead,350000,USD,350000.0,US,0,US,m,Elite
2023,mi,FT,analytics engineer,350000,GBP,430640.0,GB,0,GB,m,Elite
2023,se,FT,applied scientist,350000,USD,350000.0,US,0,US,l,Elite
2022,mi,FT,data analyst,350000,GBP,430967.0,GB,0,GB,m,Elite
2022,se,FT,data scientist,350000,USD,350000.0,US,100,US,m,Elite
2022,se,FT,data architect,345600,USD,345600.0,US,0,US,m,Elite
2024,se,FT,analytics engineer,345400,USD,345400.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,345400,USD,345400.0,US,0,US,m,Elite
2024,se,FT,research scientist,345000,USD,345000.0,US,0,US,m,Elite
2023,se,FT,research scientist,345000,USD,345000.0,US,0,US,m,Elite
2023,se,FT,computer vision engineer,342810,USD,342810.0,US,0,US,m,Elite
2024,se,FT,data analytics lead,342400,USD,342400.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,342300,USD,342300.0,US,0,US,l,Elite
2024,se,FT,machine learning engineer,340000,USD,340000.0,US,0,US,m,Elite
2024,se,FT,research scientist,340000,USD,340000.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,340000,USD,340000.0,US,0,US,m,Elite
2023,mi,FT,research scientist,340000,USD,340000.0,US,100,US,m,Elite
2024,se,FT,research engineer,339250,USD,339250.0,US,0,US,m,Elite
2024,se,FT,research scientist,337300,USD,337300.0,US,0,US,m,Elite
2023,ex,FT,director of data science,336400,USD,336400.0,US,0,US,m,Elite
2023,se,FT,ml engineer,336300,USD,336300.0,US,0,US,m,Elite
2024,ex,FT,data engineer,334075,USD,334075.0,CA,0,CA,m,Elite
2024,se,FT,research scientist,333500,USD,333500.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,333500,USD,333500.0,US,0,US,m,Elite
2024,se,FT,research engineer,333500,USD,333500.0,US,0,US,m,Elite
2023,se,FT,data engineer,333500,USD,333500.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,333500,USD,333500.0,US,0,US,m,Elite
2023,ex,FT,data engineer,333500,USD,333500.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,331640,USD,331640.0,US,0,US,m,Elite
2024,se,FT,data engineer,331640,USD,331640.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,331640,USD,331640.0,US,0,US,m,Elite
2023,se,FT,ml engineer,331640,USD,331640.0,US,0,US,m,Elite
2023,se,FT,deep learning engineer,331640,USD,331640.0,US,0,US,m,Elite
2023,se,FT,data engineer,331640,USD,331640.0,US,0,US,m,Elite
2024,se,FT,data science,331292,USD,331292.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,330000,USD,330000.0,US,100,US,m,Elite
2023,ex,FT,head of machine learning,330000,USD,330000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,330000,USD,330000.0,US,0,US,m,Elite
2023,se,FT,ai architect,330000,USD,330000.0,US,0,US,m,Elite
2023,ex,FT,head of data science,330000,USD,330000.0,US,0,US,m,Elite
2023,se,FT,data scientist,329700,USD,329700.0,US,0,US,m,Elite
2023,ex,FT,head of data,329500,USD,329500.0,US,100,US,m,Elite
2023,ex,FT,head of data,329500,USD,329500.0,US,0,US,m,Elite
2024,se,FT,analytics engineer,329200,USD,329200.0,CA,100,CA,m,Elite
2023,se,FT,machine learning engineer,328400,USD,328400.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,328133,USD,328133.0,US,0,US,m,Elite
2024,mi,FT,data science manager,328000,USD,328000.0,US,0,US,m,Elite
2023,se,FT,data science manager,328000,USD,328000.0,US,0,US,m,Elite
2024,ex,FT,data science,326000,USD,326000.0,US,100,US,m,Elite
2024,mi,FT,data analyst,325000,USD,325000.0,US,0,US,m,Elite
2023,se,FT,machine learning scientist,325000,USD,325000.0,US,100,US,m,Elite
2023,se,FT,analytics engineering manager,325000,GBP,399880.0,GB,50,GB,l,Elite
2020,ex,FT,director of data science,325000,USD,325000.0,US,100,US,l,Elite
2024,se,FT,data science,324100,USD,324100.0,US,0,US,l,Elite
2024,se,FT,machine learning engineer,324000,USD,324000.0,US,0,US,m,Elite
2024,se,FT,data science,324000,USD,324000.0,US,100,US,m,Elite
2024,se,FT,ml engineer,324000,USD,324000.0,US,0,US,m,Elite
2024,se,FT,data scientist,324000,USD,324000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,324000,USD,324000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,324000,USD,324000.0,US,0,US,m,Elite
2023,se,FT,data scientist,324000,USD,324000.0,US,0,US,m,Elite
2022,ex,FT,data engineer,324000,USD,324000.0,US,100,US,m,Elite
2024,ex,FT,data science,323700,USD,323700.0,US,100,US,m,Elite
2024,se,FT,research scientist,323300,USD,323300.0,US,0,US,m,Elite
2023,se,FT,research scientist,323300,USD,323300.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,323300,USD,323300.0,US,0,US,m,Elite
2023,se,FT,data scientist,323300,USD,323300.0,US,0,US,m,Elite
2024,se,FT,data scientist,322000,USD,322000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,322000,USD,322000.0,US,100,US,m,Elite
2024,mi,FT,data product owner,321830,USD,321830.0,US,0,US,m,Elite
2024,se,FT,research scientist,321000,USD,321000.0,US,0,US,m,Elite
2024,se,FT,research scientist,321000,USD,321000.0,US,100,US,m,Elite
2024,ex,FT,business intelligence,320000,USD,320000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,319000,USD,319000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,319000,USD,319000.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,318300,USD,318300.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,317070,USD,317070.0,US,0,US,m,Elite
2023,se,FT,data scientist,317070,USD,317070.0,US,0,US,m,Elite
2024,se,FT,ai architect,317000,USD,317000.0,US,0,US,m,Elite
2024,se,FT,data engineer,316900,USD,316900.0,US,0,US,m,Elite
2023,se,FT,data scientist,316000,USD,316000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,315850,USD,315850.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,315300,USD,315300.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,315000,USD,315000.0,US,100,US,m,Elite
2022,se,FT,data engineer,315000,USD,315000.0,US,100,US,m,Elite
2024,se,FT,data scientist,314100,USD,314100.0,US,0,US,m,Elite
2023,ex,FT,head of data science,314100,USD,314100.0,US,0,US,m,Elite
2024,ex,FT,data engineer,314000,USD,314000.0,CA,100,CA,m,Elite
2024,se,FT,data engineer,313000,USD,313000.0,US,100,US,m,Elite
2024,ex,FT,data engineer,312287,USD,312287.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,311000,USD,311000.0,US,0,US,m,Elite
2024,se,FT,data scientist,310270,USD,310270.0,US,0,US,m,Elite
2023,se,FT,data scientist,310270,USD,310270.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,310000,USD,310000.0,US,0,US,m,Elite
2024,se,FT,ai engineer,310000,USD,310000.0,US,0,US,m,Elite
2024,se,FT,research engineer,310000,USD,310000.0,US,0,US,m,Elite
2024,mi,FT,data scientist,310000,USD,310000.0,US,0,US,m,Elite
2023,mi,FT,data scientist,310000,USD,310000.0,US,0,US,m,Elite
2023,se,FT,data architect,310000,USD,310000.0,US,100,US,m,Elite
2023,se,FT,research engineer,310000,USD,310000.0,US,0,US,m,Elite
2023,se,FT,data engineer,310000,USD,310000.0,US,0,US,m,Elite
2023,ex,FT,data engineer,310000,USD,310000.0,US,100,US,m,Elite
2022,ex,FT,data engineer,310000,USD,310000.0,US,100,US,m,Elite
2023,se,FT,applied scientist,309400,USD,309400.0,US,0,US,l,Elite
2024,se,FT,machine learning engineer,309000,USD,309000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,309000,USD,309000.0,US,0,US,m,Elite
2024,mi,FT,data engineer,308000,USD,308000.0,US,0,US,m,Elite
2023,se,FT,research engineer,308000,USD,308000.0,US,0,US,m,Elite
2023,se,FT,data scientist,308000,USD,308000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,307100,USD,307100.0,US,100,US,m,Elite
2023,se,FT,data scientist,307100,USD,307100.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,306400,USD,306400.0,CA,0,CA,m,Elite
2023,se,FT,data architect,306000,USD,306000.0,US,100,US,m,Elite
2023,se,FT,research engineer,306000,USD,306000.0,US,0,US,m,Elite
2023,se,FT,data scientist,305600,USD,305600.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,305600,USD,305600.0,US,0,US,m,Elite
2023,se,FT,ai architect,305100,USD,305100.0,US,100,US,m,Elite
2023,se,FT,ml engineer,305000,USD,305000.0,US,0,US,m,Elite
2023,se,FT,data engineer,305000,USD,305000.0,US,100,US,m,Elite
2024,se,FT,data engineer,304750,USD,304750.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,304750,USD,304750.0,US,0,US,m,Elite
2023,se,FT,data engineer,304750,USD,304750.0,US,0,US,m,Elite
2023,se,FT,data engineer,304200,USD,304200.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,304000,USD,304000.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,303400,USD,303400.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,303400,USD,303400.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,303400,USD,303400.0,CA,100,CA,m,Elite
2024,se,FT,research scientist,303050,USD,303050.0,US,0,US,m,Elite
2023,se,FT,research scientist,303050,USD,303050.0,US,0,US,m,Elite
2024,se,FT,research scientist,302840,USD,302840.0,US,0,US,m,Elite
2023,se,FT,machine learning software engineer,302000,USD,302000.0,US,0,US,m,Elite
2023,se,FT,data scientist,300240,USD,300240.0,US,0,US,m,Elite
2023,se,FT,data infrastructure engineer,300105,USD,300105.0,US,0,US,m,Elite
2024,se,FT,machine learning infrastructure engineer,300000,USD,300000.0,US,0,US,m,Elite
2024,ex,FT,data science,300000,USD,300000.0,US,100,US,m,Elite
2024,se,FT,data engineer,300000,USD,300000.0,US,0,US,m,Elite
2024,mi,FT,research scientist,300000,USD,300000.0,US,0,US,m,Elite
2024,en,FT,research analyst,300000,USD,300000.0,US,0,US,m,Elite
2024,en,FT,research analyst,300000,USD,300000.0,US,100,US,m,Elite
2024,se,FT,research engineer,300000,USD,300000.0,GB,0,GB,m,Elite
2024,se,FT,ml engineer,300000,USD,300000.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,300000,USD,300000.0,US,100,US,m,Elite
2024,se,FT,machine learning engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,research engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,data engineer,300000,USD,300000.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,data scientist,300000,USD,300000.0,US,0,US,m,Elite
2023,mi,FT,machine learning engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,data engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,mi,FT,research engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,machine learning scientist,300000,USD,300000.0,US,0,US,m,Elite
2023,mi,FT,analytics engineer,300000,GBP,369120.0,GB,0,GB,m,Elite
2023,mi,FT,research scientist,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,research scientist,300000,USD,300000.0,US,0,US,m,Elite
2023,se,FT,ml engineer,300000,USD,300000.0,US,0,US,m,Elite
2023,mi,FT,ai engineer,300000,GBP,369120.0,GB,0,GB,m,Elite
2023,mi,FT,data analyst,300000,GBP,369120.0,GB,0,GB,m,Elite
2023,mi,FT,ai engineer,300000,USD,300000.0,QA,100,QA,m,Elite
2023,mi,FT,machine learning engineer,300000,USD,300000.0,GB,0,GB,m,Elite
2020,ex,FT,managing director data science,300000,USD,300000.0,US,100,US,l,Elite
2023,mi,FT,ml engineer,300000,USD,300000.0,AU,0,AU,m,Elite
2023,se,CT,finance data analyst,300000,EUR,323905.0,FR,100,US,m,Elite
2023,ex,FT,data scientist,300000,USD,300000.0,US,0,US,m,Elite
2022,se,FT,data engineer,300000,USD,300000.0,US,0,US,m,Elite
2022,se,FT,research scientist,300000,USD,300000.0,US,100,US,m,Elite
2022,se,FT,data science manager,300000,USD,300000.0,US,100,US,m,Elite
2020,en,FT,ai scientist,300000,DKK,45896.0,DK,50,DK,s,Low
2024,se,FT,data architect,299792,USD,299792.0,US,0,US,m,Elite
2023,se,FT,data science manager,299500,USD,299500.0,US,0,US,m,Elite
2023,ex,FT,data scientist,299500,USD,299500.0,US,100,US,m,Elite
2022,se,FT,data science manager,299500,USD,299500.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,299000,USD,299000.0,US,0,US,m,Elite
2022,ex,FT,data engineer,297500,USD,297500.0,US,100,US,m,Elite
2023,se,FT,data scientist,297300,USD,297300.0,US,100,US,m,Elite
2023,se,FT,data science manager,297300,USD,297300.0,US,100,US,m,Elite
2023,se,FT,machine learning engineer,297300,USD,297300.0,US,100,US,m,Elite
2023,se,FT,ml engineer,297300,USD,297300.0,US,100,US,m,Elite
2024,se,FT,data scientist,297000,USD,297000.0,US,0,US,m,Elite
2023,se,FT,data scientist,297000,USD,297000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,297000,USD,297000.0,US,0,US,m,Elite
2024,se,FT,data scientist,296980,USD,296980.0,US,0,US,m,Elite
2023,mi,FT,data scientist,296980,USD,296980.0,US,0,US,m,Elite
2024,se,FT,machine learning engineer,296400,USD,296400.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,296400,USD,296400.0,US,0,US,m,Elite
2024,se,FT,data scientist,296100,USD,296100.0,US,0,US,m,Elite
2023,se,FT,data scientist,296100,USD,296100.0,US,0,US,m,Elite
2023,ex,FT,machine learning engineer,295500,USD,295500.0,US,100,US,m,Elite
2024,se,FT,data scientist,295490,USD,295490.0,US,0,US,m,Elite
2023,se,FT,data scientist,295490,USD,295490.0,US,0,US,m,Elite
2024,mi,FT,research engineer,295000,USD,295000.0,US,0,US,m,Elite
2024,se,FT,data engineer,295000,USD,295000.0,US,0,US,m,Elite
2024,mi,FT,research scientist,295000,USD,295000.0,US,0,US,m,Elite
2024,se,FT,research scientist,295000,USD,295000.0,US,0,US,m,Elite
2024,se,FT,research engineer,295000,USD,295000.0,US,0,US,m,Elite
2023,se,FT,data scientist,295000,USD,295000.0,US,0,US,m,Elite
2024,se,FT,data scientist,294000,USD,294000.0,US,0,US,m,Elite
2023,se,FT,machine learning engineer,294000,USD,294000.0,US,0,US,m,Elite
2023,se,FT,research scientist,293000,USD,293000.0,US,0,US,m,Elite
2023,se,FT,data engineer,293000,USD,293000.0,US,0,US,m,Elite
2023,se,FT,research engineer,293000,USD,293000.0,US,0,US,m,Elite
2023,se,FT,machine learning scientist,292200,USD,292200.0,US,100,US,m,Elite
